,0
381,"{'label': 'NEU', 'score': 0.9461761713027954}"
382,"{'label': 'NEU', 'score': 0.9425742030143738}"
383,"{'label': 'NEG', 'score': 0.7659539580345154}"
384,"{'label': 'NEU', 'score': 0.9429859519004822}"
385,"{'label': 'NEU', 'score': 0.8726497888565063}"
386,"{'label': 'NEU', 'score': 0.9595467448234558}"
387,"{'label': 'NEU', 'score': 0.9433942437171936}"
388,"{'label': 'NEU', 'score': 0.844874382019043}"
389,"{'label': 'NEU', 'score': 0.8772920966148376}"
390,"{'label': 'NEU', 'score': 0.5657138824462891}"
391,"{'label': 'POS', 'score': 0.9097743630409241}"
392,"{'label': 'NEU', 'score': 0.8686890006065369}"
393,"{'label': 'NEU', 'score': 0.8690599203109741}"
394,"{'label': 'NEU', 'score': 0.9308655261993408}"
395,"{'label': 'NEU', 'score': 0.8999351859092712}"
396,"{'label': 'NEU', 'score': 0.9322825074195862}"
397,"{'label': 'NEU', 'score': 0.9322825074195862}"
398,"{'label': 'NEU', 'score': 0.9322825074195862}"
399,"{'label': 'NEU', 'score': 0.9322825074195862}"
400,"{'label': 'NEU', 'score': 0.9322825074195862}"
401,"{'label': 'NEG', 'score': 0.964703381061554}"
402,"{'label': 'NEU', 'score': 0.9460486769676208}"
403,"{'label': 'POS', 'score': 0.544029951095581}"
404,"{'label': 'POS', 'score': 0.9818337559700012}"
405,"{'label': 'NEU', 'score': 0.9460486769676208}"
406,"{'label': 'POS', 'score': 0.544029951095581}"
407,"{'label': 'POS', 'score': 0.9818337559700012}"
408,"{'label': 'NEU', 'score': 0.9460486769676208}"
409,"{'label': 'POS', 'score': 0.544029951095581}"
410,"{'label': 'POS', 'score': 0.9818337559700012}"
411,"{'label': 'NEU', 'score': 0.9460486769676208}"
412,"{'label': 'POS', 'score': 0.544029951095581}"
413,"{'label': 'POS', 'score': 0.9818337559700012}"
414,"{'label': 'NEU', 'score': 0.9460486769676208}"
415,"{'label': 'POS', 'score': 0.544029951095581}"
416,"{'label': 'POS', 'score': 0.9818337559700012}"
417,"{'label': 'NEU', 'score': 0.9379097819328308}"
418,"{'label': 'NEU', 'score': 0.9435116052627563}"
419,"{'label': 'NEU', 'score': 0.9453033804893494}"
420,"{'label': 'NEU', 'score': 0.9435116052627563}"
421,"{'label': 'NEU', 'score': 0.9453033804893494}"
422,"{'label': 'NEU', 'score': 0.9435116052627563}"
423,"{'label': 'NEU', 'score': 0.9453033804893494}"
424,"{'label': 'NEU', 'score': 0.9435116052627563}"
425,"{'label': 'NEU', 'score': 0.9453033804893494}"
426,"{'label': 'NEU', 'score': 0.9435116052627563}"
427,"{'label': 'NEU', 'score': 0.9453033804893494}"
428,"{'label': 'NEU', 'score': 0.9093786478042603}"
429,"{'label': 'POS', 'score': 0.9286473393440247}"
430,"{'label': 'NEU', 'score': 0.9354533553123474}"
431,"{'label': 'NEU', 'score': 0.9354533553123474}"
432,"{'label': 'NEU', 'score': 0.9354533553123474}"
433,"{'label': 'NEU', 'score': 0.9354533553123474}"
434,"{'label': 'NEU', 'score': 0.9354533553123474}"
435,"{'label': 'NEU', 'score': 0.9009041786193848}"
436,"{'label': 'NEU', 'score': 0.9264869093894958}"
437,"{'label': 'NEU', 'score': 0.9527238607406616}"
438,"{'label': 'NEG', 'score': 0.5652003288269043}"
439,"{'label': 'NEU', 'score': 0.8074031472206116}"
440,"{'label': 'NEU', 'score': 0.9398184418678284}"
441,"{'label': 'NEU', 'score': 0.8904479146003723}"
442,"{'label': 'NEU', 'score': 0.6649314165115356}"
443,"{'label': 'NEU', 'score': 0.9398184418678284}"
444,"{'label': 'NEU', 'score': 0.8904479146003723}"
445,"{'label': 'NEU', 'score': 0.6649314165115356}"
446,"{'label': 'NEU', 'score': 0.9398184418678284}"
447,"{'label': 'NEU', 'score': 0.8904479146003723}"
448,"{'label': 'NEU', 'score': 0.6649314165115356}"
449,"{'label': 'NEU', 'score': 0.9398184418678284}"
450,"{'label': 'NEU', 'score': 0.8904479146003723}"
451,"{'label': 'NEU', 'score': 0.6649314165115356}"
452,"{'label': 'NEU', 'score': 0.9398184418678284}"
453,"{'label': 'NEU', 'score': 0.8904479146003723}"
454,"{'label': 'NEU', 'score': 0.6649314165115356}"
455,"{'label': 'NEU', 'score': 0.9613105058670044}"
456,"{'label': 'POS', 'score': 0.9898315072059631}"
457,"{'label': 'NEU', 'score': 0.5734080672264099}"
458,"{'label': 'POS', 'score': 0.9898315072059631}"
459,"{'label': 'NEU', 'score': 0.5734080672264099}"
460,"{'label': 'POS', 'score': 0.9898315072059631}"
461,"{'label': 'NEU', 'score': 0.5734080672264099}"
462,"{'label': 'POS', 'score': 0.9898315072059631}"
463,"{'label': 'NEU', 'score': 0.5734080672264099}"
464,"{'label': 'POS', 'score': 0.9898315072059631}"
465,"{'label': 'NEU', 'score': 0.5734080672264099}"
466,"{'label': 'NEU', 'score': 0.942676305770874}"
467,"{'label': 'NEU', 'score': 0.9433754682540894}"
468,"{'label': 'NEU', 'score': 0.9103624820709229}"
469,"{'label': 'NEU', 'score': 0.8619976043701172}"
470,"{'label': 'NEU', 'score': 0.870543897151947}"
471,"{'label': 'NEU', 'score': 0.9180198311805725}"
472,"{'label': 'NEU', 'score': 0.9726395010948181}"
473,"{'label': 'NEU', 'score': 0.9293579459190369}"
474,"{'label': 'NEU', 'score': 0.9103624820709229}"
475,"{'label': 'NEU', 'score': 0.8619976043701172}"
476,"{'label': 'NEU', 'score': 0.870543897151947}"
477,"{'label': 'NEU', 'score': 0.9180198311805725}"
478,"{'label': 'NEU', 'score': 0.9726395010948181}"
479,"{'label': 'NEU', 'score': 0.9293579459190369}"
480,"{'label': 'NEU', 'score': 0.9103624820709229}"
481,"{'label': 'NEU', 'score': 0.8619976043701172}"
482,"{'label': 'NEU', 'score': 0.870543897151947}"
483,"{'label': 'NEU', 'score': 0.9180198311805725}"
484,"{'label': 'NEU', 'score': 0.9726395010948181}"
485,"{'label': 'NEU', 'score': 0.9293579459190369}"
486,"{'label': 'NEU', 'score': 0.9103624820709229}"
